"1","'Test Question. Please keep ticking on other test window, and wait here to see changes in response count'","'Yes'","'No'","'Can't Say'","'May be'","27","19","17","31","1","0","0","1"
"2","New Question1","Test1","Test2","Test3","test4","4","2","2","1","0","0","0","1"
"3","New Question 2","Test1","Test2","Test3","test4","1","1","2","1","0","0","0","1"
"4","qwertujk","dfghjkl","erthyujk","fghjkl","fhjk","0","0","0","0","0","0","0","1"
"5","123567","45678","r456789","56789","56789","2","1","0","0","0","0","0","1"
"6","whats your name ??\
","Amar","Akbar","Anthony ","anybody","3","3","3","1","0","0","0","1"
"7","Do you have a valid Voter ID card?","yes","no","I don't know what a voter ID is","","0","0","0","0","0","0","0","1"
"8","Which cultural performance did you like the best?","Indian Ocean","Fictitious Dance Group","Prince Dance Group","","0","0","0","0","0","0","0","1"
"9","Which future initiative of CAG do you find the most relevant and impactful?","I-vote","Samvaad","The Indian Republic","","0","0","0","0","0","0","0","1"
"10",\N,\N,\N,\N,\N,"0","0","0","0","0","0","0","1"
"11","Do you want to see Manthan happen next year as well?","yes","no","yes, but in a different form","","0","0","0","0","0","0","0","1"
"12",\N,\N,\N,\N,\N,"0","0","0","0","0","0","0","1"
"13","Who are you going to vote for in the 2014 elections?","NDA","UPA","Third front","","0","0","0","0","0","0","0","1"
"14","Which aspect of Manthan did you like the most?","competition format","culmination convention","Manthan website","stay and travel arrangements","0","0","0","0","0","0","0","1"
"15","Which aspect of Manthan do you think can be improved upon?","competition format","judging process","culmination convention format","stay and travel arrangements","0","0","0","0","0","0","0","1"
"16","Do you want to see Manthan happen next year as well?","yes","n","","","0","0","0","0","0","0","0","1"
"17","Do you want to see Manthan happen next year as well?","yes","no","yes, but in a different form","","2","1","1","0","0","0","0","1"
"18","Do you have a valid Voter ID card?","yes","no","I don't know what a voter ID is","","0","0","0","0","0","0","0","1"
"19","Do you have a valid Voter ID card?","yes","no","I don't know what a voter ID is","","0","0","0","0","0","0","1","1"
"20","Which cultural performance did you like the best?","Indian Ocean","Fictitious Dance Group","Prince Dance Group","","1","0","0","0","0","0","0","1"
"21","Which future initiative of CAG do you find the most relevant and impactful?","I-vote","Samvaad","The Indian Republic","","0","0","0","0","0","0","1","1"
"22","Do you want to see Manthan happen next year as well?","yes","no","yes, but in a different form","","14","3","6","1","0","0","0","1"
"23","Who are you going to vote for in the 2014 elections?","NDA","UPA","Third front","","1","0","1","0","0","0","0","1"
"24","Which aspect of Manthan did you like the most?","competition format","culmination convention","Manthan website","stay and travel arrangements","0","0","0","0","0","0","1","1"
"25","Which aspect of Manthan do you think can be improved upon?","competition format","judging process","culmination convention format","stay and travel arrangements","0","0","0","0","0","0","1","1"
"26"," Which aspect of Manthan did you like the most?","competition format","culmination convention","Manthan website","stay and travel arrangements","0","0","0","0","0","0","1","1"
"27","Do you have a valid Voter ID card?","yes","no","I don't know what a voter ID is","","219","136","26","9","0","0","0","1"
"28","Which cultural performance did you like the best?","Indian Ocean","Fictitious Dance Group","Prince Dance Group","","0","0","0","1","0","0","0","1"
"29","Which future initiative of CAG do you find the most relevant and impactful?","I-vote","Samvaad","The Indian Republic","","36","16","7","6","0","0","0","1"
"30","Do you want to see Manthan happen next year as well?","yes","no","yes, but in a different form","","0","0","0","0","0","0","0","1"
"31","Who are you going to vote for in the 2014 elections?","NDA","UPA","Third front","","0","0","0","0","0","0","1","0"
"32","Which aspect of Manthan did you like the most?","competition format","culmination convention","Manthan website","stay and travel arrangements","0","0","0","0","0","0","1","0"
"33","Which aspect of Manthan do you think can be improved upon?","competition format","judging process","culmination convention format","stay and travel arrangements","0","0","0","0","0","0","1","0"
"34",\N,\N,\N,\N,\N,"0","0","0","0","0","0","1","0"
"35","Do you have a valid Voter ID card?","yes","no","I don't know what a voter ID is","","2","1","0","0","0","0","1","1"
"36","Which cultural performance did you like the best?","Indian Ocean","Fictitious Dance Group","Prince Dance Group","","9","8","1","0","0","0","0","1"
"37","Which future initiative of CAG do you find the most relevant and impactful?","I-vote","Samvaad","The Indian Republic","","0","0","0","0","0","0","1","0"
"38","Do you have a valid Voter ID card?","yes","no","I don't know what a voter ID is","","0","0","0","0","0","0","1","0"
"39",\N,\N,\N,\N,\N,"0","0","0","0","0","0","1","0"
"40","1. Which theme presentation did you like the most ?","Sunrise States","Protecting the vulnerable","Walk to equality","Plugging the leaks","3","1","0","0","0","0","0","1"
"41","(1) Which theme presentation did you like the most ?","Sunrise States","Healing Touch","Walk to equality","Plugging the leaks","70","27","39","46","0","0","0","1"
"42","(2) Which theme presentation did you like the most ?","Boosting Skillsets","Sowing Prosperity","Nourish to Flourish","None","40","39","43","16","0","0","0","1"
"43","whats my name ?","Amar","Akbar","Anthony","albert","0","0","0","0","0","0","0","1"
"44","Which theme presentation did you like the best ?","Citizens Appeal","Future Cities","Brain Gain","Fairness at Play","1","0","0","0","0","0","0","1"
"45","Which theme presentation do you like most ?","Citizens Appeal","Future Cities","Brain Gain","Fairness at Play","0","0","0","0","0","0","0","1"
"46","Do you want to see Manthan happen next year as well?","yes","no","yes, but in a different form ","","157","27","125","2","0","1","0","0"
"47","Do you have a valid Voter ID card?","yes","no","I don't know what a voter ID is","","0","0","0","0","0","0","1","0"
